Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
MMR,2009,6.39,,1.58,17.75,16.16,,,11.93,,142,35
MNE,2009,4.91,1.43,1.09,13.33,14.42,,,,6.8,150,39
MNG,2009,5.58,1.52,1.27,14.80,16.22,,,10.19,,142,30
MNP,2009,3.55,,,10.92,,,,,,9,57
MOZ,2009,6.16,2.37,2.23,16.98,14.76,,,12.59,,2,14
MRT,2009,4.89,1.11,-0.27,15.07,14.57,,,6.47,,2,11
MSR,2009,,,-3.89,,,,,,,19,29
MTQ,2009,5.97,,0.37,,,,,,,19,29
MUS,2009,5.38,2.18,0.80,14.04,15.12,,,3.19,,2,14
MWI,2009,5.49,1.62,0.47,16.48,13.87,,,8.95,,2,14
MYS,2009,9.14,5.31,4.64,17.14,19.13,,,10.10,3.8,142,35
MYT,2009,1.72,,,,,,,,,2,14
NAM,2009,5.50,2.18,1.25,14.58,14.97,,,10.27,28.7,2,18
NCL,2009,4.39,,0.53,12.41,14.86,,,1.10,,9,54
NER,2009,4.62,1.69,-0.28,16.57,13.96,,,7.15,,2,11
NFK,2009,,,,,,,,,,9,53
NGA,2009,8.70,5.13,2.87,18.86,18.09,,,11.11,46,2,11
NIC,2009,5.91,2.13,0.99,15.55,15.33,,,7.38,42.5,19,13
NIU,2009,,,-5.88,,,,,,,9,61
NLD,2009,9.20,6.75,4.68,16.62,18.95,,,8.45,,150,155
NOR,2009,8.79,5.94,4.72,15.39,17.77,,,7.93,,150,154
NPL,2009,4.72,2.56,0.95,17.10,15.10,,,6.97,,142,34
NRU,2009,,,-3.42,,,,,,,9,57
NZL,2009,7.48,4.78,3.67,15.27,17.29,,,7.26,,9,53
OMN,2009,8.48,3.88,2.60,14.83,17.47,,,5.80,,142,145
PAK,2009,9.03,5.12,4.28,18.93,18.89,,,7.06,,142,34
PAN,2009,6.54,3.26,1.76,15.09,15.97,,,6.68,33.4,19,13
PCN,2009,,,,,,,,,,9,61
PER,2009,8.00,4.80,3.37,17.18,17.75,,,7.73,33.5,19,5
PHL,2009,7.70,5.13,3.95,18.33,18.13,,,11.18,26.27106,142,35
PLW,2009,,-1.62,,9.92,12.25,,,,,9,57
PNG,2009,4.75,2.07,1.13,15.72,15.44,,,8.03,39.9,9,54
POL,2009,9.47,6.08,4.85,17.46,19.51,,,7.99,17.6,150,151
PRI,2009,8.20,4.57,2.96,15.13,,,,2.56,,19,29
PRK,2009,4.11,,2.84,17.01,18.14,,,8.46,,142,30
PRT,2009,9.15,5.50,3.88,16.17,17.81,,,8.12,,150,39
PRY,2009,7.15,2.77,1.83,15.63,15.32,,,9.94,35.1,19,5
PSE,2009,7.41,1.98,1.49,15.12,14.55,,,,26.2,142,145
PYF,2009,4.24,,-0.43,12.49,13.68,,,,,9,61
QAT,2009,7.85,4.58,3.05,14.28,18.08,,,,,142,145
REU,2009,6.14,,0.95,,,,,,,2,14
ROU,2009,7.91,5.10,3.82,16.83,18.22,,,6.50,21.1,150,151
RUS,2009,11.35,7.11,6.70,18.78,21.18,,,12.58,13,150,151
RWA,2009,4.01,1.67,-1.27,16.12,13.26,,,6.77,,2,14
SAU,2009,10.30,6.06,5.23,17.13,20.00,,,7.92,,142,145
SDN,2009,7.27,3.97,1.68,17.38,16.31,,,12.78,46.5,2,15
SEN,2009,5.83,2.55,0.78,16.35,15.58,,,10.18,,2,11
SGP,2009,6.32,5.26,3.67,15.42,16.99,,,8.04,,142,35
SGS,2009,,,,,,,,,,0,0
SHN,2009,,,-4.90,,,,,,,2,11
SJM,2009,,,,,,,,,,150,154
SLB,2009,,-0.51,-2.61,13.15,12.18,,,,,9,54
SLE,2009,3.07,0.90,-2.12,15.55,13.39,,,9.22,,2,11
SLV,2009,6.30,3.03,1.66,15.61,15.68,,,6.11,37.8,19,13
SMR,2009,4.07,,,10.32,,,,,,150,39
SOM,2009,2.75,,-1.26,16.05,13.30,,,2.88,,2,14
SPM,2009,0.03,,-3.27,,,,,,,19,21
SRB,2009,7.63,3.75,3.34,15.81,17.65,,,,,150,39
STP,2009,,-1.63,-3.09,12.03,11.43,,,,61.7,2,17
SUR,2009,5.17,1.35,0.34,13.15,14.72,,,6.58,,19,5
SVK,2009,6.89,4.48,3.21,15.50,17.34,,,7.16,12,150,151
SVN,2009,6.58,3.92,2.47,14.53,16.55,,,6.32,12.7,150,39
SWE,2009,8.92,6.06,4.85,16.05,17.59,,,7.56,,150,154
SWZ,2009,4.73,1.15,0.30,13.98,13.86,,,5.87,63,2,18
SYC,2009,2.43,-0.17,-1.42,11.38,13.52,,,,,2,14
SYR,2009,8.07,,3.39,16.84,17.94,,,4.45,,142,145
TCA,2009,2.47,,-1.70,10.32,12.10,,,,,19,29
TCD,2009,4.29,2.23,-1.83,16.26,13.10,,,11.17,,2,17
TGO,2009,4.72,1.15,-0.27,15.64,14.34,,,9.45,,2,11
THA,2009,9.32,5.57,4.86,18.01,19.45,,,9.57,17.9,142,35
TJK,2009,4.89,1.61,2.64,15.82,14.86,,,5.97,,142,143
TKL,2009,,,,,,,,,,9,61
TKM,2009,7.42,3.01,2.43,15.42,17.73,,,5.54,,142,143
TLS,2009,2.79,-0.20,,13.86,12.12,,,,,142,35
TON,2009,,-1.14,-3.05,11.55,11.79,,,,22.5,9,61
TTO,2009,7.30,2.96,1.96,14.09,17.69,,,4.72,,19,29
TUN,2009,7.80,3.77,2.53,16.16,17.03,,,-3.56,,2,15
TUR,2009,9.21,6.42,5.05,18.08,19.44,,,9.07,4.4,142,145
TUV,2009,,-3.61,,9.19,,,,,,9,61
TWN,2009,9.02,,5.32,,,,,,,0,0
TZA,2009,5.73,3.06,1.09,17.60,15.64,,,12.14,,2,14
UGA,2009,5.13,2.70,0.68,17.28,15.03,,,10.07,24.5,2,14
UKR,2009,8.50,4.76,4.92,17.65,19.38,,,7.70,5.8,150,151
UMI,2009,,,,,,,,,,0,0
URY,2009,7.14,3.42,2.17,15.03,15.90,,,5.89,21,19,5
USA,2009,12.88,9.58,8.22,19.54,22.39,,,13.02,,19,21
UZB,2009,7.93,3.49,3.76,17.14,18.50,,,6.93,,142,143
VAT,2009,-0.99,,,,,,,,,150,39
VCT,2009,1.91,-0.39,,11.60,12.35,,,1.04,,19,29
VEN,2009,9.38,5.80,4.43,17.17,19.04,,,10.30,31.8,19,5
VGB,2009,2.91,,-3.09,,,,,,,19,29
VIR,2009,5.12,,-0.21,11.58,,,,,,19,29
VNM,2009,8.29,4.66,4.32,18.27,18.76,,,8.64,,142,35
VUT,2009,2.26,-0.49,-3.03,12.35,11.67,,,,,9,54
WLF,2009,,,,,,,,,,9,61
WSM,2009,,-0.58,-2.22,12.13,12.20,,,,,9,61
YEM,2009,7.46,3.33,1.55,16.95,16.97,,,2.77,,142,145
ZAF,2009,9.43,5.65,5.32,17.73,19.98,,,10.44,,2,18
ZMB,2009,6.41,2.73,2.00,16.42,14.73,,,12.43,,2,14
ZWE,2009,6.02,2.10,1.95,16.43,15.92,,,10.70,,2,14
ABW,2008,4.75,1.03,-0.22,11.53,14.74,,,,,19,29
AFG,2008,5.86,2.32,0.36,17.09,15.25,,,2.20,,142,34
AGO,2008,6.86,4.43,1.29,16.80,17.12,8.10,9.76,6.24,36.6,2,17
AIA,2008,2.34,,,,,,,,,19,29
ALA,2008,3.21,,,,,,,,,150,154
ALB,2008,5.87,2.56,1.45,14.90,15.35,7.02,7.83,4.95,12.4,150,39
AND,2008,4.94,1.31,,11.36,13.20,,,,,150,39
ANT,2008,5.07,,0.00,,,,,,,19,29
ARE,2008,9.12,5.75,4.26,15.75,18.88,7.26,10.08,7.16,,142,145
ARG,2008,9.75,6.01,4.65,17.51,19.07,10.90,11.49,11.32,,19,5
ARM,2008,5.90,2.46,1.52,14.91,15.53,6.59,8.08,6.20,27.6,142,145
ASM,2008,1.75,,-1.75,10.95,,,,,,9,61
ATA,2008,,,-6.29,,,,,,,0,0
ATF,2008,,,,,,,,,,0,0
ATG,2008,4.20,0.30,-1.38,11.35,13.08,,,2.13,,19,29
AUS,2008,9.41,6.96,5.37,16.87,19.75,10.97,11.71,12.53,,9,53
AUT,2008,8.06,6.06,4.15,15.93,18.05,8.34,9.02,7.96,,150,155
AZE,2008,6.91,3.89,2.82,15.99,17.39,7.87,9.74,6.27,13.2,142,145
BDI,2008,3.30,0.48,-1.71,15.99,12.16,,,6.37,,2,14
BEL,2008,9.37,6.25,4.44,16.19,18.46,9.11,9.16,7.87,,150,155
BEN,2008,4.79,1.89,-0.30,16.01,15.32,8.54,8.87,9.98,,2,11
BFA,2008,5.46,2.12,-0.38,16.50,14.34,,,9.85,,2,11
BGD,2008,6.78,4.52,3.35,18.81,17.72,10.01,11.49,5.87,,142,34
BGR,2008,7.32,3.98,3.46,15.83,17.74,8.25,9.42,6.55,21.8,150,151
BHR,2008,6.05,3.25,2.26,13.93,16.99,4.76,8.06,5.77,,142,145
BHS,2008,4.97,2.11,0.50,12.76,13.86,,,3.97,,19,29
BIH,2008,6.61,2.93,2.36,15.16,16.82,6.98,8.02,6.71,,150,39
BLM,2008,3.96,,,,,,,,,19,29
BLR,2008,7.51,4.11,3.44,16.07,17.96,9.44,9.64,6.52,6.1,150,151
BLZ,2008,3.33,0.31,-0.81,12.63,13.02,,,5.34,,19,13
BMU,2008,3.02,1.81,-0.45,11.09,12.87,,,,,19,21
BOL,2008,7.27,2.81,1.58,16.08,16.42,9.08,9.95,11.26,57.3,19,5
BRA,2008,10.83,7.41,6.04,19.09,19.78,12.16,12.95,13.14,14.1,19,5
BRB,2008,5.24,1.51,-0.03,12.53,14.30,,,,,19,29
BRN,2008,6.22,2.67,1.12,12.85,16.12,5.81,8.44,5.89,,142,35
BTN,2008,0.98,0.23,0.13,13.45,12.95,,,3.52,,142,34
BVT,2008,,,,,,,,,,0,0
BWA,2008,5.60,2.41,1.07,14.49,15.42,7.60,8.26,11.05,,2,18
CAF,2008,1.60,0.69,-1.91,15.27,12.37,,,12.88,62,2,17
CAN,2008,10.77,7.34,6.33,17.32,20.11,10.51,11.57,12.21,,19,21
CCK,2008,,,,,,,,,,0,0
CHE,2008,8.48,6.31,4.08,15.85,17.51,7.84,8.51,7.88,,150,155
CHL,2008,8.32,5.19,3.98,16.63,18.09,9.21,9.80,7.91,,19,5
CHN,2008,11.74,8.42,8.02,21.00,22.67,13.13,14.25,12.40,,142,30
CIV,2008,6.26,3.19,1.28,16.77,15.74,9.09,9.58,,,2,11
CMR,2008,5.67,3.15,1.61,16.79,15.53,9.66,9.90,11.28,,2,17
COD,2008,6.28,2.96,1.80,17.94,14.91,11.06,11.15,13.33,,2,17
COG,2008,6.45,2.47,-0.57,15.16,14.08,7.91,8.80,9.77,,2,17
COK,2008,,,-3.51,,,,,,,9,61
COL,2008,8.71,5.50,3.76,17.62,17.99,10.08,11.05,9.49,42,19,5
COM,2008,,-0.66,-3.22,13.41,11.70,,,4.30,,2,14
CPV,2008,3.60,0.58,-1.38,13.09,12.56,,,,,2,11
CRI,2008,6.77,3.40,2.12,15.30,15.94,7.26,7.68,4.97,,19,13
CUB,2008,6.77,4.11,2.63,16.24,17.23,8.80,9.04,7.09,,19,29
CXR,2008,,,,,,,,,,0,0
CYM,2008,4.10,,-0.62,10.88,13.29,,,,,19,29
CYP,2008,6.91,3.23,1.53,13.89,15.96,5.58,6.42,5.56,,142,145
CZE,2008,8.28,5.46,4.13,16.16,18.58,8.81,9.38,7.32,8.6,150,151
DEU,2008,10.26,8.23,6.30,18.22,20.48,10.82,10.96,10.21,,150,155
DJI,2008,3.37,0.00,-1.23,13.60,13.12,,,3.14,,2,14
DMA,2008,,-0.76,-2.56,11.17,11.76,,,,,19,29
DNK,2008,7.44,5.87,3.54,15.52,17.66,8.65,8.97,7.44,,150,154
DOM,2008,6.98,3.87,2.30,16.08,16.88,7.79,8.81,5.14,44.2,19,29
DZA,2008,9.00,5.14,3.42,17.37,18.53,8.65,10.74,6.95,,2,15
ECU,2008,8.01,4.12,2.74,16.49,17.21,8.41,9.60,6.49,35.1,19,5
EGY,2008,10.34,5.09,4.70,18.18,19.10,10.13,10.86,8.21,21.6,2,15
ERI,2008,3.74,0.32,-1.49,15.32,12.93,7.10,7.93,5.55,,2,14
ESH,2008,4.56,,-2.48,,,,,,,2,15
ESP,2008,10.50,7.40,5.56,17.64,19.61,10.09,10.50,9.36,,150,39
EST,2008,6.77,3.19,2.07,14.11,16.68,6.91,7.72,3.98,19.7,150,154
ETH,2008,5.71,3.30,1.21,18.24,15.67,10.51,11.01,11.18,,2,14
FIN,2008,9.23,5.65,4.43,15.49,17.85,8.87,9.16,6.99,,150,154
FJI,2008,1.33,1.26,-0.29,13.64,13.89,,,2.83,35.2,9,54
FLK,2008,,,-4.09,,,,,,,19,5
FRA,2008,10.54,7.98,6.14,17.98,19.73,10.73,11.33,9.87,,150,155
FRO,2008,2.45,0.88,-1.40,10.79,13.35,,,,,150,154
FSM,2008,,-1.34,,11.56,11.70,,,,,9,57
GAB,2008,6.40,2.75,0.37,14.20,14.54,7.22,8.57,10.81,,2,17
GBR,2008,10.39,7.93,5.84,17.94,20.07,10.26,11.02,9.47,,150,154
GEO,2008,6.20,2.55,1.96,15.29,15.67,7.68,8.46,4.68,17.7,142,145
GGY,2008,3.39,,,,,,,,,150,154
GHA,2008,6.86,3.35,1.79,16.96,16.03,9.89,10.02,11.21,,2,11
GIB,2008,1.89,,-1.89,,,,,,,150,39
GIN,2008,4.29,1.51,-0.11,16.16,14.51,,,11.21,,2,11
GLP,2008,5.62,,0.42,,,,,,,19,29
GMB,2008,4.09,-0.03,-1.56,14.28,12.93,,,7.46,,2,11
GNB,2008,,-0.15,-2.89,14.26,12.33,,,8.16,,2,11
GNQ,2008,3.57,2.74,-2.44,13.44,15.32,,,,,2,17
GRC,2008,8.46,5.87,4.09,16.23,18.40,8.64,9.01,7.34,,150,39
GRD,2008,3.29,-0.19,-1.75,11.55,12.47,,,0.95,,19,29
GRL,2008,2.79,0.55,-1.24,10.94,13.40,,,,,19,21
GTM,2008,6.72,3.67,2.02,16.46,16.25,8.28,8.76,9.14,,19,13
GUF,2008,4.54,,-0.33,,,,,,,19,5
GUM,2008,5.41,,0.50,11.97,,,,,,9,57
GUY,2008,4.05,0.65,-0.88,13.53,14.26,,,3.89,,19,5
HKG,2008,6.71,5.39,3.65,15.76,17.47,6.14,8.00,4.92,,142,30
HMD,2008,,,,,,,,,,0,0
HND,2008,6.57,2.62,1.59,15.80,15.98,8.05,8.60,7.87,59.2,19,13
HRV,2008,7.65,4.26,2.78,15.30,16.97,7.97,8.49,4.90,,150,39
HTI,2008,4.10,1.88,-1.57,16.09,14.70,7.29,8.41,4.97,,19,29
HUN,2008,7.99,5.05,3.63,16.12,17.82,8.48,8.91,7.46,12.4,150,151
IDN,2008,8.97,6.23,4.85,19.28,19.84,11.49,12.26,11.24,15.4,142,35
IMN,2008,3.60,,,11.32,,,,,,150,154
IND,2008,10.56,7.11,6.43,20.90,21.31,12.31,13.31,10.83,,142,34
IOT,2008,,,,,,,,,,0,0
IRL,2008,7.70,5.61,3.27,15.32,17.57,8.89,9.58,7.18,,150,154
IRN,2008,10.41,5.87,5.09,18.10,20.12,10.16,11.60,8.04,,142,34
IRQ,2008,8.87,4.88,2.98,17.19,18.35,8.18,10.03,5.85,,142,145
ISL,2008,6.10,2.87,2.76,12.67,14.57,6.03,5.91,5.88,,150,154
ISR,2008,8.61,5.37,3.88,15.80,18.04,7.49,8.27,7.81,,142,145
ITA,2008,10.82,7.78,5.75,17.89,19.92,9.98,10.53,9.56,,150,39
JAM,2008,6.17,2.62,1.09,14.80,16.30,6.50,7.19,5.08,12.3,19,29
JEY,2008,3.83,,,,,,,,,150,154
JOR,2008,7.70,3.09,2.42,15.57,16.88,6.54,7.70,5.08,,142,145
JPN,2008,10.87,8.49,6.87,18.67,20.91,10.25,10.62,11.08,,142,30
KAZ,2008,8.83,4.89,4.23,16.57,19.25,9.82,11.05,10.04,12.1,142,143
KEN,2008,5.96,3.58,1.71,17.46,16.14,9.35,10.22,7.85,,2,14
KGZ,2008,5.92,1.64,1.96,15.49,15.55,7.33,8.21,5.44,31.7,142,143
KHM,2008,5.09,2.34,0.41,16.45,15.20,9.63,10.39,11.17,34,142,35
KIR,2008,,-2.00,-3.94,11.50,10.92,,,,,9,57
KNA,2008,3.16,-0.31,-2.11,10.84,12.43,,,1.52,,19,29
KOR,2008,9.84,6.91,6.00,17.71,20.05,9.52,10.34,9.32,,142,30
KWT,2008,8.05,4.99,3.74,14.81,18.23,6.46,9.44,7.12,,142,145
LAO,2008,5.09,1.69,0.66,15.61,13.79,,,9.08,,142,35
LBN,2008,7.16,3.36,2.44,15.23,16.66,6.46,7.00,0.71,,142,145
LBR,2008,0.68,-0.16,-1.48,15.12,13.26,,,5.41,,2,11
LBY,2008,8.85,4.53,3.21,15.63,17.84,7.21,9.79,5.81,,2,15
LCA,2008,4.10,0.16,-1.18,12.06,12.89,,,,,19,29
LIE,2008,3.90,1.60,,10.48,11.15,,,,,150,155
LKA,2008,6.47,3.71,2.09,16.82,16.32,7.66,9.34,4.46,,142,34
LSO,2008,4.35,0.49,-0.52,14.49,14.55,,,6.53,,2,18
LTU,2008,6.80,3.86,2.30,14.98,16.50,8.50,8.55,6.84,20.3,150,154
LUX,2008,6.29,4.01,1.87,13.10,16.21,6.18,7.04,4.90,,150,155
LVA,2008,6.42,3.52,1.92,14.59,15.88,7.24,8.07,7.13,26.4,150,154
MAC,2008,1.90,3.03,1.19,13.14,14.11,,,,,142,30
MAF,2008,3.85,,,10.29,,,,,,19,29
MAR,2008,8.10,4.49,3.08,17.26,17.78,8.76,9.33,,,2,15
MCO,2008,2.54,1.93,,10.48,,,,,,150,155
MDA,2008,5.37,1.80,,15.09,15.38,6.49,8.12,4.60,26.4,150,151
MDG,2008,4.29,2.24,0.14,16.81,14.50,,,11.09,,2,14
MDV,2008,,0.64,-1.41,12.80,13.82,,,,,142,34
MEX,2008,10.34,7.00,5.33,18.56,19.98,10.68,11.65,10.55,,19,13
MHL,2008,,-1.88,,10.86,11.50,,,,,9,57
MKD,2008,6.13,2.29,1.98,14.54,16.06,6.32,7.23,5.49,,150,39
MLI,2008,5.41,2.17,-0.78,16.47,13.88,,,10.96,,2,11
MLT,2008,5.62,2.15,0.61,12.92,14.76,4.18,5.46,5.04,,150,39
MMR,2008,6.26,,1.51,17.75,16.02,10.08,11.25,11.24,,142,35
MNE,2008,5.47,1.51,1.25,13.33,14.83,,,,4.9,150,39
MNG,2008,5.49,1.73,1.29,14.78,16.12,8.28,8.83,10.06,,142,30
MNP,2008,3.61,,,10.96,,,,,,9,57
MOZ,2008,6.09,2.40,2.23,16.95,14.67,7.67,9.05,12.77,54.7,2,14
MRT,2008,4.85,1.28,-0.46,15.04,14.48,,,6.36,42,2,11
MSR,2008,,,-3.89,,,,,,,19,29
MTQ,2008,6.06,,0.34,,,,,,,19,29
MUS,2008,5.42,2.27,0.79,14.03,15.14,,,3.10,,2,14
MWI,2008,5.60,1.45,0.49,16.45,13.95,,,9.20,,2,14
MYS,2008,9.12,5.44,4.43,17.12,19.15,9.53,10.47,9.08,,142,35
MYT,2008,1.98,,,,,,,,,2,14
NAM,2008,5.51,2.14,1.36,14.56,15.09,7.96,8.51,9.77,,2,18
NCL,2008,4.38,,0.51,12.40,15.00,,,,,9,54
NER,2008,4.61,1.69,-0.42,16.53,13.73,,,7.20,,2,11
NFK,2008,,,,,,,,,,9,53
NGA,2008,8.79,5.34,2.90,18.83,18.34,10.58,11.47,11.45,,2,11
NIC,2008,5.86,2.14,0.88,15.54,15.30,8.14,8.73,7.37,,19,13
NIU,2008,,,-5.88,,,,,,,9,61
NLD,2008,9.26,6.84,4.73,16.62,18.97,9.17,9.93,8.41,,150,155
NOR,2008,8.78,6.12,4.75,15.38,17.73,8.32,9.75,8.56,,150,154
NPL,2008,4.61,2.53,0.79,17.09,14.92,8.44,10.05,6.44,,142,34
NRU,2008,,,-3.48,,,,,,,9,57
NZL,2008,7.45,4.87,3.68,15.26,17.35,9.50,10.22,7.39,,9,53
OMN,2008,8.38,4.11,2.49,14.79,17.46,6.41,9.66,5.62,,142,145
PAK,2008,8.96,5.14,4.23,18.91,18.88,10.26,11.92,7.08,,142,34
PAN,2008,6.53,3.21,1.70,15.07,15.81,7.23,8.12,5.82,33.8,19,13
PCN,2008,,,,,,,,,,9,61
PER,2008,7.98,4.80,3.38,17.17,17.54,8.92,9.75,7.87,37.3,19,5
PHL,2008,7.66,5.16,3.92,18.32,18.15,9.45,10.94,6.80,,142,35
PLW,2008,,-1.54,,9.91,12.25,,,,,9,57
PNG,2008,5.85,2.08,1.11,15.69,15.38,,,7.29,,9,54
POL,2008,9.47,6.27,4.89,17.46,19.57,10.24,11.09,8.10,17.1,150,151
PRI,2008,8.27,4.54,2.97,15.14,,,,2.94,,19,29
PRK,2008,3.87,,2.94,17.00,18.17,8.09,9.84,8.26,,142,30
PRT,2008,9.27,5.57,3.89,16.17,17.83,8.50,9.47,7.07,,150,39
PRY,2008,7.11,2.92,1.74,15.62,15.29,8.92,9.58,10.23,37.9,19,5
PSE,2008,7.36,1.90,1.44,15.10,14.54,,,,,142,145
PYF,2008,4.28,,-0.45,12.48,13.68,,,,,9,61
QAT,2008,7.74,4.75,2.93,14.14,18.03,5.67,10.25,,,142,145
REU,2008,6.09,,0.93,,,,,,,2,14
ROU,2008,8.20,5.32,3.92,16.84,18.38,9.29,10.20,7.41,22.4,150,151
RUS,2008,11.27,7.42,6.75,18.78,21.26,11.06,13.14,13.33,13.4,150,151
RWA,2008,3.75,1.57,-1.38,16.09,13.20,,,6.40,,2,14
SAU,2008,10.26,6.25,5.16,17.10,19.85,8.82,10.92,7.86,,142,145
SDN,2008,7.22,4.00,1.52,17.36,16.21,11.40,11.52,12.82,,2,15
SEN,2008,5.76,2.59,0.55,16.32,15.51,8.57,9.12,10.35,,2,11
SGP,2008,6.32,5.26,3.64,15.39,16.99,7.02,7.76,8.10,,142,35
SGS,2008,,,,,,,,,,0,0
SHN,2008,,,-4.90,,,,,,,2,11
SJM,2008,,,,,,,,,,150,154
SLB,2008,,-0.50,-2.60,13.13,12.16,,,,,9,54
SLE,2008,2.95,0.92,-2.08,15.52,13.41,,,10.09,,2,11
SLV,2008,6.28,3.06,1.66,15.61,15.69,7.32,8.05,5.71,40,19,13
SMR,2008,3.94,0.64,,10.31,,,,,,150,39
SOM,2008,2.87,,-1.27,16.03,13.31,,,5.47,,2,14
SPM,2008,1.76,,-3.27,,,,,,,19,21
SRB,2008,8.00,3.90,3.37,15.81,17.76,8.65,8.81,,,150,39
STP,2008,,-1.70,-3.17,12.01,11.34,,,,,2,17
SUR,2008,5.07,1.26,0.34,13.14,14.71,,,6.84,,19,5
SVK,2008,7.23,4.60,3.27,15.50,17.45,8.08,8.30,6.27,11,150,151
SVN,2008,6.47,4.02,2.59,14.52,16.66,7.06,7.98,6.37,11.3,150,39
SWE,2008,9.09,6.24,4.89,16.04,17.71,8.65,9.34,7.79,,150,154
SWZ,2008,4.74,1.11,0.31,13.96,13.91,,,6.38,,2,18
SYC,2008,2.59,-0.04,-1.45,11.37,13.45,,,,,2,14
SYR,2008,8.13,,3.40,16.82,18.03,8.74,9.43,3.31,,142,145
TCA,2008,2.43,,-1.75,10.29,12.10,,,,,19,29
TCD,2008,4.21,2.34,-2.03,16.23,13.14,,,11.37,,2,17
TGO,2008,4.76,1.15,-0.45,15.62,14.36,8.22,8.68,9.61,,2,11
THA,2008,9.24,5.61,4.86,18.01,19.39,10.01,11.49,9.37,20.4,142,35
TJK,2008,5.32,1.64,2.70,15.80,14.90,7.37,8.41,5.94,,142,143
TKL,2008,,,,,,,,,,9,61
TKM,2008,7.61,2.96,2.36,15.41,17.86,8.51,10.40,5.11,,142,143
TLS,2008,2.74,-0.37,,13.85,12.16,,,,,142,35
TON,2008,,-1.06,-3.07,11.54,11.70,,,,,9,61
TTO,2008,7.26,3.34,1.95,14.09,17.66,5.82,9.51,4.96,,19,29
TUN,2008,7.79,3.80,2.44,16.15,17.03,7.83,8.85,0.28,,2,15
TUR,2008,9.39,6.59,5.08,18.07,19.47,10.43,11.23,8.85,6.8,142,145
TUV,2008,,-3.50,,9.19,,,,,,9,61
TWN,2008,9.07,,5.36,,,,,,,0,0
TZA,2008,5.66,3.03,1.25,17.57,15.66,9.40,10.14,11.97,,2,14
UGA,2008,5.10,2.66,0.73,17.25,14.97,,,10.85,,2,14
UKR,2008,8.73,5.19,5.03,17.65,19.56,10.07,11.13,8.68,7.1,150,151
UMI,2008,,,,,,,,,,0,0
URY,2008,7.04,3.41,2.13,15.02,15.93,8.91,9.93,6.04,24.2,19,5
USA,2008,12.88,9.60,8.26,19.53,22.45,12.62,13.21,12.73,,19,21
UZB,2008,8.26,3.33,3.75,17.12,18.61,9.30,10.74,6.91,,142,143
VAT,2008,-0.99,,,,,,,,,150,39
VCT,2008,2.39,-0.36,,11.60,12.35,,,0.96,,19,29
VEN,2008,9.37,5.75,4.43,17.15,19.04,9.76,11.00,10.37,32.6,19,5
VGB,2008,2.75,,-3.13,,,,,,,19,29
VIR,2008,5.13,,-0.24,11.58,,,,,,19,29
VNM,2008,8.23,4.60,4.19,18.26,18.66,10.10,11.58,8.34,,142,35
VUT,2008,,-0.50,-3.03,12.33,11.43,,,,,9,54
WLF,2008,,,,,,,,,,9,61
WSM,2008,,-0.44,-2.23,12.12,12.16,,,,26.9,9,61
YEM,2008,7.53,3.41,1.54,16.92,16.91,8.17,9.02,2.71,,142,145
ZAF,2008,9.46,5.61,5.36,17.71,19.97,10.04,11.12,10.54,,2,18
ZMB,2008,6.34,2.89,2.01,16.39,14.59,8.98,8.72,12.63,,2,14
ZWE,2008,6.07,1.49,2.01,16.42,15.85,8.34,9.04,10.72,,2,14
ABW,2007,4.79,0.96,-0.20,11.53,14.77,,,,,19,29
AFG,2007,6.10,2.29,0.40,17.07,14.64,,,5.32,36.3,142,34
AGO,2007,6.59,4.10,1.00,16.77,17.04,,,6.24,,2,17
AIA,2007,2.41,,,,,,,,,19,29
ALA,2007,2.98,,,,,,,,,150,154
ALB,2007,5.72,2.37,1.31,14.90,15.31,,,7.54,,150,39
AND,2007,4.78,1.18,,11.35,13.20,,,,,150,39
ANT,2007,5.09,,0.01,,,,,,,19,29
ARE,2007,9.10,5.55,4.23,15.61,18.75,,,7.11,,142,145
ARG,2007,9.72,5.80,4.61,17.50,19.01,,,10.96,,19,5
ARM,2007,5.69,2.22,1.56,14.91,15.44,,,6.05,,142,145
ASM,2007,1.75,,-1.77,10.97,,,,,,9,61
ATA,2007,,,-6.29,,,,,,,0,0
ATF,2007,,,,,,,,,,0,0
ATG,2007,4.18,0.25,-1.41,11.34,13.06,,,2.04,,19,29
AUS,2007,9.42,6.75,5.37,16.85,19.71,,,12.98,,9,53
AUT,2007,7.92,5.96,4.15,15.93,18.06,,,7.90,,150,155
AZE,2007,7.11,3.50,2.83,15.97,17.23,,,6.31,15.8,142,145
BDI,2007,3.55,0.30,-1.68,15.96,12.14,,,6.07,,2,14
BEL,2007,9.27,6.16,4.44,16.18,18.45,,,7.79,,150,155
BEN,2007,4.77,1.71,-0.41,15.98,15.32,,,10.19,33.3,2,11
BFA,2007,5.49,1.91,-0.41,16.47,14.31,,,9.99,,2,11
BGD,2007,6.80,4.38,3.34,18.80,17.66,,,7.58,,142,34
BGR,2007,7.13,3.78,3.44,15.84,17.77,,,7.09,21.4,150,151
BHR,2007,6.04,3.08,2.31,13.84,16.91,,,5.77,,142,145
BHS,2007,4.94,2.12,0.64,12.74,14.25,,,,,19,29
