Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
GUM,2013,5.54,,0.44,12.01,,,,,,9,57
GUY,2013,4.55,1.10,-0.40,13.54,14.48,,,,,19,5
HKG,2013,6.72,5.61,3.70,15.79,17.62,,,,,142,30
HMD,2013,,,,,,,,,,0,0
HND,2013,7.04,2.92,1.68,15.88,16.02,,,,64.50,19,13
HRV,2013,7.97,4.06,2.74,15.26,16.69,,,,19.40,150,39
HTI,2013,5.07,2.14,-0.92,16.16,14.69,,,,,19,29
HUN,2013,8.06,4.89,3.61,16.11,17.54,,,,15.00,150,151
IDN,2013,9.55,6.77,5.21,19.34,19.99,,,,11.40,142,35
IMN,2013,3.74,,,11.37,,,,,,150,154
IND,2013,11.12,7.54,6.81,20.97,21.43,,,,,142,34
IOT,2013,,,,,,,,,,0,0
IRL,2013,7.83,5.45,3.20,15.34,17.37,,,,,150,154
IRN,2013,10.60,5.91,5.30,18.16,20.24,,,,,142,34
IRQ,2013,9.67,5.44,3.79,17.35,18.94,,,,,142,145
ISL,2013,6.43,2.73,2.87,12.69,14.49,,,,,150,154
ISR,2013,8.83,5.67,3.92,15.90,18.08,,,,,142,145
ITA,2013,11.05,7.67,5.69,17.91,19.66,,,,,150,39
JAM,2013,6.31,2.66,0.99,14.81,15.86,,,,,19,29
JEY,2013,3.59,,,,,,,,,150,154
JOR,2013,8.25,3.52,2.69,15.79,17.03,,,,,142,145
JPN,2013,10.98,8.50,6.87,18.66,20.94,,,,,142,30
KAZ,2013,9.23,5.45,4.45,16.65,19.39,,,,2.90,142,143
KEN,2013,6.66,4.01,1.97,17.59,16.40,,,,,2,14
KGZ,2013,6.59,1.98,2.39,15.56,16.10,,,,37.00,142,143
KHM,2013,5.81,2.72,1.19,16.53,15.53,,,,,142,35
KIR,2013,,-1.78,-3.72,11.59,11.04,,,,,9,57
KNA,2013,3.73,-0.27,-1.68,10.90,12.54,,,,,19,29
KOR,2013,10.11,7.17,6.19,17.73,20.20,,,,,142,30
KWT,2013,8.35,5.17,3.91,15.09,18.40,,,,,142,145
LAO,2013,6.23,2.42,1.08,15.70,14.59,,,,,142,35
LBN,2013,7.57,3.79,2.73,15.48,16.93,,,,,142,145
LBR,2013,3.27,0.67,-1.28,15.27,13.77,,,,,2,11
LBY,2013,8.99,4.31,2.52,15.65,17.75,,,,,2,15
LCA,2013,4.41,0.29,-1.09,12.11,12.92,,,,,19,29
LIE,2013,4.26,,,10.52,10.85,,,,,150,155
LKA,2013,6.87,4.21,2.35,16.84,16.59,,,,,142,34
LSO,2013,4.60,0.85,-0.29,14.55,14.65,,,,,2,18
LTU,2013,7.03,3.83,2.27,14.90,16.35,,,,19.10,150,154
LUX,2013,6.51,4.10,1.82,13.21,16.13,,,,,150,155
LVA,2013,6.87,3.43,1.92,14.51,15.77,,,,21.20,150,154
MAC,2013,1.90,3.95,1.46,13.25,14.59,,,,,142,30
MAF,2013,3.88,,,10.35,,,,,,19,29
MAR,2013,8.63,4.64,3.33,17.33,17.89,,,,,2,15
MCO,2013,2.54,,,10.53,,,,,,150,155
MDA,2013,5.81,2.08,,15.08,15.42,,,,12.70,150,151
MDG,2013,4.93,2.36,0.26,16.95,14.94,,,,,2,14
MDV,2013,,0.83,-1.27,12.88,13.86,,,,,142,34
MEX,2013,10.56,7.14,5.45,18.63,20.01,,,,,19,13
MHL,2013,,-1.66,,10.87,11.54,,,,,9,57
MKD,2013,6.39,2.32,1.96,14.54,15.93,,,,24.20,150,39
MLI,2013,5.87,2.39,0.23,16.62,13.84,,,,,2,11
MLT,2013,5.69,2.27,0.67,12.96,14.61,,,,,150,39
MMR,2013,7.24,,2.23,17.79,16.35,,,,,142,35
MNE,2013,5.99,1.49,1.00,13.34,14.63,,,,8.60,150,39
MNG,2013,6.39,2.44,1.64,14.87,17.54,,,,,142,30
MNP,2013,3.81,,,10.89,,,,,,9,57
MOZ,2013,6.82,2.75,2.43,17.09,15.21,,,,,2,14
MRT,2013,5.50,1.43,-0.32,15.17,14.79,,,,,2,11
MSR,2013,,,-3.94,,,,,,,19,29
MTQ,2013,6.25,,0.43,,,,,,,19,29
MUS,2013,5.65,2.48,0.94,14.05,15.13,,,,,2,14
MWI,2013,5.62,1.31,0.54,16.60,14.06,,,,,2,14
MYS,2013,9.58,5.75,4.83,17.20,19.28,,,,,142,35
MYT,2013,3.03,,,,,,,,,2,14
NAM,2013,6.08,2.57,1.33,14.67,14.90,,,,,2,18
NCL,2013,4.85,,0.68,12.48,15.17,,,,,9,54
NER,2013,5.63,2.00,0.08,16.73,14.49,,,,,2,11
NFK,2013,,,,,,,,,,9,53
NGA,2013,9.06,6.26,3.14,18.97,18.38,,,,,2,11
NIC,2013,6.46,2.42,1.23,15.60,15.33,,,,,19,13
NIU,2013,,,-5.88,,,,,,,9,61
NLD,2013,9.35,6.75,4.70,16.64,18.95,,,,,150,155
NOR,2013,9.25,6.24,4.77,15.44,17.90,,,,,150,154
NPL,2013,4.76,2.96,1.30,17.14,15.69,,,,,142,34
NRU,2013,,,-3.80,9.22,10.69,,,,,9,57
NZL,2013,7.73,5.22,3.67,15.31,17.34,,,,,9,53
OMN,2013,9.10,4.38,3.13,15.18,17.93,,,,,142,145
PAK,2013,9.12,5.45,4.41,19.02,18.85,,,,29.50,142,34
PAN,2013,7.06,3.75,2.01,15.15,16.15,,,,,19,13
PCN,2013,,,,,,,,,,9,61
PER,2013,8.53,5.31,3.62,17.24,17.86,,,,23.90,19,5
PHL,2013,8.10,5.61,4.16,18.40,18.40,,,,,142,35
PLW,2013,-0.71,-1.40,,9.95,12.32,,,,,9,57
PNG,2013,5.18,2.73,1.08,15.80,15.62,,,,,9,54
POL,2013,9.81,6.27,4.94,17.45,19.53,,,,17.00,150,151
PRI,2013,8.28,4.64,2.94,15.09,,,,,,19,29
PRK,2013,5.01,,2.71,17.03,17.73,,,,,142,30
PRT,2013,9.40,5.43,3.83,16.16,17.65,,,,,150,39
PRY,2013,7.70,3.37,2.19,15.68,15.42,,,,23.80,19,5
PSE,2013,7.83,,1.65,15.24,14.71,,,,,142,145
PYF,2013,4.18,,-0.45,12.53,13.62,,,,,9,61
QAT,2013,8.19,5.31,3.42,14.56,18.26,,,,,142,145
REU,2013,6.37,,0.86,,,,,,,2,14
ROU,2013,8.45,5.25,3.84,16.81,18.07,,,,25.40,150,151
RUS,2013,11.69,7.65,6.78,18.78,21.30,,,,10.80,150,151
RWA,2013,4.81,2.02,-0.69,16.22,13.59,,,,,2,14
SAU,2013,10.87,6.62,5.51,17.22,20.11,,,,,142,145
SDN,2013,7.81,4.20,2.10,17.47,16.55,,,,,2,15
SEN,2013,6.14,2.69,1.00,16.47,15.95,,,,,2,11
SGP,2013,6.32,5.70,3.79,15.50,17.74,,,,,142,35
SGS,2013,,,,,,,,,,0,0
SHN,2013,,,-4.78,,,,,,,2,11
SJM,2013,,,,,,,,,,150,154
SLB,2013,,0.09,-2.54,13.24,12.20,,,,12.70,9,54
SLE,2013,3.51,1.42,-1.63,15.64,13.99,,,,,2,11
SLV,2013,6.50,3.19,1.77,15.62,15.67,,,,29.60,19,13
SMR,2013,4.15,,,10.35,,,,,,150,39
SOM,2013,4.33,,-1.17,16.14,13.34,,,,,2,14
SPM,2013,2.51,,-3.22,,,,,,,19,21
SRB,2013,8.24,3.82,3.37,15.78,17.62,,,,25.40,150,39
STP,2013,2.67,-1.17,-2.79,12.11,11.64,,,,,2,17
SUR,2013,5.75,1.67,0.65,13.19,14.56,,,,,19,5
